longitude,latitude,newPlot
123.4364624,41.79341888,72
123.4385071,41.79291916,73
123.4135971,41.82078171,74
123.4133606,41.82601166,75
123.4094467,41.81962967,76
123.418869,41.79587936,77
123.4217072,41.80179977,78
123.4228973,41.82117081,79
123.4133682,41.81906128,80
123.4415131,41.79069901,81
123.4413986,41.79521179,82
123.4087677,41.82728958,83
123.4118118,41.82775879,84
123.415947,41.82638931,85
123.4314499,41.79272842,86
123.4172211,41.8232193,87
123.4355469,41.81787872,88
123.4248505,41.80847931,89
123.4321518,41.79225922,90
123.4452972,41.79330063,91
123.4364777,41.81536865,92
123.4435272,41.81632996,93
123.7440491,41.87060928,94
123.4362564,41.81409836,95
123.9822388,41.91376114,96
123.8424911,41.90208054,97
123.5701828,41.84872055,98
123.7372131,41.86552811,99
123.5129471,41.81296921,100
123.5773392,41.84096146,101
123.4498215,41.8127594,102
123.4513474,41.80987167,103
123.9071808,41.90761185,104
123.79702,41.89694977,105
122.8896332,41.51470947,106
122.8960876,41.51839828,107
122.8947372,41.51762009,108
123.3034363,41.77828979,109
122.9067917,41.52077866,110
123.2350616,41.76229858,111
123.40065,41.79916,112
122.8741531,41.50146866,113
123.3013992,41.79296112,114
123.2972031,41.79404068,115
123.3987732,41.65663147,116
123.3872604,41.68149948,117
123.3922501,41.76182175,118
123.3968201,41.77841949,119
123.4054337,41.73435974,120
123.3297577,41.79167938,121
123.3355484,41.82492065,122
123.3975372,41.7638588,123
123.3119812,41.79444885,124
123.4074783,41.71160889,125
123.4003372,41.748909,126
123.4100418,41.71696854,127
123.3088303,41.7948494,128
123.341301,41.83958817,129
123.4041824,41.78815842,130
123.4106903,41.80588913,131
123.382637,41.67253876,132
123.3415833,41.83486938,133
123.3956985,41.66041946,134
123.3636017,41.76478958,135
122.8239136,42.01221848,136
123.330162,41.81687927,137
123.4646378,41.80677032,138
123.4543991,41.80009079,139
123.4689713,41.83068848,140
123.4746933,41.83179855,141
122.8331604,42.01269913,142
122.8111191,42.0118103,143
123.4572067,41.81924057,144
123.385437,41.76366043,145
123.2186127,41.87506866,146
123.3260727,41.78894043,147
123.4369736,41.81069946,148
123.2430191,41.85911942,149
123.3388977,41.77386856,150
123.451828,41.79811859,151
123.013298,41.95848083,152
123.4638138,41.80162811,153
123.2880707,41.84394073,154
123.4589996,41.80213165,155
123.4533081,41.79941177,156
123.4639206,41.80471039,157
122.9420471,42.01485825,158
123.3680801,41.7646904,159
122.9983902,42.02111053,160
123.4670715,41.83361053,161
123.3436737,41.78839111,162
123.3488464,41.79114151,163
123.3471985,41.78953934,164
123.3480301,41.79275894,165
123.3501663,41.7890892,166
123.3462982,41.78725052,167
123.3501892,41.79389191,168
123.3831787,41.75664902,169
123.3879929,41.75057983,170
123.4167023,41.80054855,171
123.4153519,41.7809906,172
123.3493729,41.79272079,173
123.3716965,41.76863861,174
123.3605576,41.77761841,175
123.4168396,41.78324127,176
123.3456116,41.7684288,177
123.4342422,41.75323868,178
123.4062119,41.79008865,179
123.3912888,41.76742935,180
123.4266129,41.75957108,181
123.3629379,41.77523041,182
123.3988419,41.75511932,183
123.4291306,41.76118851,184
123.4137192,41.77326965,185
123.4176865,41.80654907,186
123.4268494,41.78609085,187
123.4222031,41.78456116,188
123.4685898,41.7313118,189
123.3468475,41.77386856,190
123.4014435,41.7567215,191
123.4236679,41.79983139,192
123.4140701,41.79787827,193
123.4003906,41.7820015,194
123.3966904,41.72800064,195
123.4166412,41.77536011,196
123.5041275,41.64099884,197
123.3549118,41.7796402,198
123.3783112,41.78226852,199
123.4340591,41.73952103,200
123.3377228,41.76914978,201
123.4130402,41.74742889,202
123.4277878,41.76531982,203
123.4256287,41.75188065,204
123.4317474,41.78593826,205
123.4221497,41.7995491,206
123.4142609,41.80113983,207
123.4086685,41.73022079,208
123.4417267,41.78430939,209
123.3834229,41.78184128,210
123.3565521,41.76601028,211
123.3549423,41.76934052,212
123.3389969,41.76615906,213
123.3527908,41.78551102,214
123.3509064,41.78245163,215
123.4094391,41.75185013,216
123.4248962,41.79085159,217
123.4003677,41.79526138,218
123.4270782,41.78303909,219
123.4193115,41.78630829,220
123.4221497,41.78771973,221
123.5447083,42.4447403,222
123.5373001,42.43714905,223
